ID,職缺名稱,客戶公司,狀態,地點,薪資,關鍵技能,經驗要求,人數,優先度
7,資安工程師,台灣遊戲橘子,招募中,,面議,Web開發、APP開發、SDLC、DevOps、資安測試,2年以上 Web/APP 開發或資安相關經驗,1,medium
8,"雲端維運工程師
(需 on-call)",台灣遊戲橘子,招募中,,面議,Linux、Windows、Git、網路架構、SDLC、CI/CD,3年以上軟體/資訊產業年資,1,medium
9,"機房維運工程師
(實體於中和面談)",台灣遊戲橘子,招募中,,面議,Linux、TCP/IP、系統維護、資安證照、網路管理,2年以上機房維運或網路管理經驗,2,medium
10,"後端開發工程師
(有考題)",台灣遊戲橘子,招募中,,面議,.NET Core、.NET Framework、MSSQL、T-SQL、WebService,3年以上,1,medium
11,遊戲測試人員,台灣遊戲橘子,招募中,內湖,面議,遊戲測試、Bug追蹤、FPS遊戲,不拘（有遊戲測試經驗佳）,1,medium
12,會計專員,台灣遊戲橘子,招募中,內湖,面議,財務會計、Oracle、Excel,1年以上會計相關經驗,1,medium
13,雲端機房技術客服,台灣遊戲橘子,招募中,中和 / 國分機房,面議,客服、IT支援、雲端機房,不拘（有IT支援或客服經驗佳）,1,medium
14,後端工程師(Java/C#.Net),創樂科技有限公司,招募中,台北市,面議,"Java, C#(.NET Core), Redis, Kafka, MySQL, MongoDB, 高併發, 高流量, 微服務架構, On-Call",3年以上,1,medium
15,Senior UI/UX Designer 資深視覺設計師,創樂科技有限公司,招募中,台北市,面議,"Figma (Design System, Auto layout, Variables), UI/UX設計, RWD, Web/iOS/Android, 視覺設計, AI工具 (ChatGPT, Freepik, ImagineArt), 動態製作 (AE, Framer), HTML/CSS/JS",3年以上,1,medium
18,Java Developer (後端工程師),一通數位有限公司,招募中,台北市內湖區,"60,000~80,000元/月","Java, Spring Boot, 微服務, OpenAPI, Message Queue, Docker, Kubernetes, Redis, MongoDB, CI/CD",2年以上,2-3,medium
19,系統維運工程師 (DevOps),一通數位有限公司,招募中,台北市內湖區,"70,000~80,000元/月","DevOps, CI/CD, Jenkins, GitLab CI, Docker, Kubernetes, MongoDB, MySQL, Redis, Kafka, Grafana, Prometheus, Linux, Aliyun, AWS, GCP",2年以上,1,medium
21,餐飲品牌客服,台灣遊戲橘子,招募中,內湖,月薪 33K（季獎金待確認）,"電話服務, 文字客服, 信件溝通",客服1年以上工作經驗佳,1,medium
23,Finance Supervisor (財務主管),瑞典商英鉑科股份有限公司台灣分公司,招募中,台北市信義區（捷運台北101/世貿站）,待遇面議（經常性薪資達 4 萬元或以上）,"Excel, Word, 稅務規劃與稅報, 會計作業流程, 結帳作業, 會計核算, 編製帳務報表, 英文溝通",3年以上,1,medium
24,Android Team Lead,CMoney (全躍財經資訊股份有限公司),招募中,新北市板橋區文化路一段 266 號 12 樓,年薪 200 萬元（保障）,"Kotlin, MVVM, MVP, MVC, Room, Navigation, Unit Test, Coroutine, Flow, DI, Git, Scrum, 敏捷開發, App 架構設計, 團隊管理",7年以上,1名,medium
25,Backend Team Lead,CMoney (全躍財經資訊股份有限公司),招募中,新北市板橋區,年薪 250 萬元,"C#, ASP.NET, .NET Framework, 架構設計, 分散式系統, MongoDB, SQL, ElasticSearch, Redis, Kafka, Kubernetes, 高併發系統, 團隊管理",8年以上,1名,medium
26,Sr. BigData Engineer (資深大數據工程師),CMoney (全躍財經資訊股份有限公司),招募中,台北（數據中台建設）,年薪 250 萬元（保障）,"Scala, Hadoop, MapReduce, 大規模數據倉儲, 數據建模, Apache Kafka, Apache Beam, Heron, Spark Streaming, 分散式數據處理",5年以上,1名,medium
